,Column Names,,,,
Jt Charge Back Type,Jt Charge Back Type,,,,
Jt Children,Jt Children,,,,
Jt Child Return Order Url Most Recent,Jt Child Return Order Url Most Recent,,,,
Jt City,Jt City,,,,
Jt Coding Hours Capacity,Jt Coding Hours Capacity,,,,
Jt Coding Hours Remaining,Jt Coding Hours Remaining,,,,
Jt Coding Hours Used,Jt Coding Hours Used,,,,
Jt Coding Hours Used Date,Jt Coding Hours Used Date,,,,
Jt Coding Hours Used State,Jt Coding Hours Used State,,,,
Jt Company Code,Jt Company Code,,,,
Jt Company Id,Jt Company Id,,,,
Jt Concierge Contact,Jt Concierge Contact,,,,
Jt Contact,Jt Contact,,,,
Jt Contact Entity Type,Jt Contact Entity Type,,,,
Jt Contact Id,Jt Contact Id,,,,
Jt Contact Id Entity Type,Jt Contact Id Entity Type,,,,
Jt Contact Id Name,Jt Contact Id Name,,,,
Jt Contact Id Yomi Name,Jt Contact Id Yomi Name,,,,
Jt Contact Name,Jt Contact Name,,,,
Jt Contact Yomi Name,Jt Contact Yomi Name,,,,
Jt Contestment Due,Jt Contestment Due,,,,
Jt Coop,Jt Coop,,,,
Jt Coop Base,Jt Coop Base,,,,
Jt Copy Bill To Ship,Jt Copy Bill To Ship,,,,
Jt Copy Hours Capacity,Jt Copy Hours Capacity,,,,
Jt Copy Hours Remaining,Jt Copy Hours Remaining,,,,
Jt Copy Hours Used,Jt Copy Hours Used,,,,
Jt Copy Hours Used Date,Jt Copy Hours Used Date,,,,
Jt Copy Hours Used State,Jt Copy Hours Used State,,,,
Jt Cost Of Goods Sold,Jt Cost Of Goods Sold,,,,
Jt Cost Of Goods Sold Base,Jt Cost Of Goods Sold Base,,,,
Jt Country,Jt Country,,,,
Jt Country Id,Jt Country Id,,,,
Jt Country Id Entity Type,Jt Country Id Entity Type,,,,
Jt Country Id Name,Jt Country Id Name,,,,
Jt Create Regen,Jt Create Regen,,,,
Jt Credit Application Signer Ssn,Jt Credit Application Signer Ssn,,,,
Jt Credit App Sig Nature Contact,Jt Credit App Sig Nature Contact,,,,
Jt Credit App Sig Nature Contact Entity Type,Jt Credit App Sig Nature Contact Entity Type,,,,
Jt Credit App Sig Nature Contact Name,Jt Credit App Sig Nature Contact Name,,,,
Jt Credit App Sig Nature Contact Yomi Name,Jt Credit App Sig Nature Contact Yomi Name,,,,
Jt Credit App Sig Nature Date,Jt Credit App Sig Nature Date,,,,
Jt Credit Card Id,Jt Credit Card Id,,,,
Jt Credit Card Id Entity Type,Jt Credit Card Id Entity Type,,,,
Jt Credit Card Id Name,Jt Credit Card Id Name,,,,
Jt Credit Hold,Jt Credit Hold,,,,
Jt Credit Hold Exception,Jt Credit Hold Exception,,,,
Jt Credit Limit,Jt Credit Limit,,,,
Jt Credit Limit Base,Jt Credit Limit Base,,,,
Jt Current Datetime,Jt Current Datetime,,,,
Jt Cust Class Id,Jt Cust Class Id,,,,
Jt Customer Class,Jt Customer Class,,,,
Jt Customer Class Id,Jt Customer Class Id,,,,
Jt Customer Class Id Entity Type,Jt Customer Class Id Entity Type,,,,
Jt Customer Class Id Name,Jt Customer Class Id Name,,,,
Jt Customer Class Lookup,Jt Customer Class Lookup,,,,
Jt Customer Class Lookup Entity Type,Jt Customer Class Lookup Entity Type,,,,
Jt Customer Class Lookup Name,Jt Customer Class Lookup Name,,,,
Jt Customer Id,Jt Customer Id,,,,
Jt Customer Po Number,Jt Customer Po Number,,,,
Jt Date Established,Jt Date Established,,,,
Jt Day Ofthe Month,Jt Day Ofthe Month,,,,
Jt Dba,Jt Dba,,,,
Jt Dba Name,Jt Dba Name,,,,
Jt Default Subscription Days,Jt Default Subscription Days,,,,
Jt Description,Jt Description,,,,
Jt Designer,Jt Designer,,,,
Jt Designer Entity Type,Jt Designer Entity Type,,,,
Jt Designer Name,Jt Designer Name,,,,
Jt Design Hours Capacity,Jt Design Hours Capacity,,,,
Jt Design Hours Remaining,Jt Design Hours Remaining,,,,
Jt Design Hours Used,Jt Design Hours Used,,,,
Jt Design Hours Used Date,Jt Design Hours Used Date,,,,
Jt Design Hours Used State,Jt Design Hours Used State,,,,
Jt Direction,Jt Direction,,,,
Jt Discount,Jt Discount,,,,
Jt Discount Basedon Total,Jt Discount Basedon Total,,,,
Jt Discount List,Jt Discount List,,,,
Jt Discount List Entity Type,Jt Discount List Entity Type,,,,
Jt Discount List Name,Jt Discount List Name,,,,
Jt Discount Percent,Jt Discount Percent,,,,
Jt Dismantle Date,Jt Dismantle Date,,,,
Jt Dismantle Hours,Jt Dismantle Hours,,,,
Jt Disposition,Jt Disposition,,,,
Jt Disposition Entity Type,Jt Disposition Entity Type,,,,
Jt Disposition Name,Jt Disposition Name,,,,
Jt Dnis,Jt Dnis,,,,
Jt Do Not Allow Text,Jt Do Not Allow Text,,,,
Jt Dont Fire Subscription,Jt Dont Fire Subscription,,,,
Jt Email,Jt Email,,,,
Jt End Date,Jt End Date,,,,
Jt Entity Engaged As,Jt Entity Engaged As,,,,
Jt E Payment Approved,Jt E Payment Approved,,,,
Jt Event,Jt Event,,,,
Jt Event Codemas,Jt Event Codemas,,,,
Jt Ewallet,Jt Ewallet,,,,
Jt Ewallet Entity Type,Jt Ewallet Entity Type,,,,
Jt Ewallet Name,Jt Ewallet Name,,,,
Jt Exception Reason,Jt Exception Reason,,,,
Jt Exception Reason,Jt Exception Reason,,,,
Jt Expected Shipdate,Jt Expected Shipdate,,,,
Jt Expense Cost Rollup,Jt Expense Cost Rollup,,,,
Jt Expense Cost Rollup Base,Jt Expense Cost Rollup Base,,,,
Jt Expense Cost Rollup Date,Jt Expense Cost Rollup Date,,,,
Jt Expense Cost Rollup State,Jt Expense Cost Rollup State,,,,
Jt Expire Date,Jt Expire Date,,,,
Jt Fast Track This Job,Jt Fast Track This Job,,,,
Jt Federal Id,Jt Federal Id,,,,
Jt First Order Date,Jt First Order Date,,,,
Jt First Order Manual,Jt First Order Manual,,,,
Jt Fob,Jt Fob,,,,
Jt Formula Number,Jt Formula Number,,,,
Jt Free Frompca,Jt Free Frompca,,,,
Jt Giftid,Jt Giftid,,,,
Jt Goal,Jt Goal,,,,
Jt H Category,Jt H Category,,,,
Jt Hide Create Order,Jt Hide Create Order,,,,
Jt Hobby,Jt Hobby,,,,
Jt Hours Complete,Jt Hours Complete,,,,
Jt Hours Complete Date,Jt Hours Complete Date,,,,
Jt Hours Complete State,Jt Hours Complete State,,,,
Jt Hours Of Work,Jt Hours Of Work,,,,
Jt Hours Of Work All Jobs,Jt Hours Of Work All Jobs,,,,
Jt Hours Of Work All Jobs Date,Jt Hours Of Work All Jobs Date,,,,
Jt Hours Of Work All Jobs State,Jt Hours Of Work All Jobs State,,,,
Jt House Hold Member,Jt House Hold Member,,,,
Jt House Hold Member Entity Type,Jt House Hold Member Entity Type,,,,
Jt House Hold Member Id,Jt House Hold Member Id,,,,
Jt House Hold Member Id Entity Type,Jt House Hold Member Id Entity Type,,,,
Jt House Hold Member Id Name,Jt House Hold Member Id Name,,,,
Jt House Hold Member Name,Jt House Hold Member Name,,,,
Jt House Hold Member Yomi Name,Jt House Hold Member Yomi Name,,,,
Jt Html Order Products Table,Jt Html Order Products Table,,,,
Jt Id,Jt Id,,,,
Jt Incorpo Ratio N State Country,Jt Incorpo Ratio N State Country,,,,
Jt Insa Mount Required,Jt Insa Mount Required,,,,
Jt Insa Mount Required Base,Jt Insa Mount Required Base,,,,
Jt Install Date,Jt Install Date,,,,
Jt Install Hours,Jt Install Hours,,,,
Jt Insurance Description,Jt Insurance Description,,,,
Jt Insurance Require Dyn,Jt Insurance Require Dyn,,,,
Jt Inter Nation Alhold Exception,Jt Inter Nation Alhold Exception,,,,
Jt Inventory Type,Jt Inventory Type,,,,
Jt Inventory Typedesc,Jt Inventory Typedesc,,,,
Jt Isapproved,Jt Isapproved,,,,
Jt Isapromo Event,Jt Isapromo Event,,,,
Jt Isbacklog,Jt Isbacklog,,,,
Jt Is Exclusive,Jt Is Exclusive,,,,
Jt Is Project Level Job,Jt Is Project Level Job,,,,
Jt Is Subscription,Jt Is Subscription,,,,
Jt Item Class Id,Jt Item Class Id,,,,
Jt Item Class Name,Jt Item Class Name,,,,
Jt Item Type,Jt Item Type,,,,
Jt Item Type Name,Jt Item Type Name,,,,
Jt Item Use,Jt Item Use,,,,
Jt Job Accept Edon,Jt Job Accept Edon,,,,
Jt Job Category,Jt Job Category,,,,
Jt Jobid,Jt Jobid,,,,
Jt Job Number,Jt Job Number,,,,
Jt Job Order,Jt Job Order,,,,
Jt Job Status,Jt Job Status,,,,
Jt Jobtobeapproved,Jt Jobtobeapproved,,,,
Jt Jobtobeapproved Entity Type,Jt Jobtobeapproved Entity Type,,,,
Jt Jobtobeapproved Name,Jt Jobtobeapproved Name,,,,
Jt Jobtype,Jt Jobtype,,,,
Jt Jt Job Product Id,Jt Jt Job Product Id,,,,
Jt Jt Tollfree Number Product Id,Jt Jt Tollfree Number Product Id,,,,
Jt Key,Jt Key,,,,
Jt Last Approval Step Owner,Jt Last Approval Step Owner,,,,
Jt Last Approval Step Owner Entity Type,Jt Last Approval Step Owner Entity Type,,,,
Jt Last Approval Step Owner Name,Jt Last Approval Step Owner Name,,,,
Jt Last Approval Step Owner Yomi Name,Jt Last Approval Step Owner Yomi Name,,,,
Jt Last Order Eddate,Jt Last Order Eddate,,,,
Jt Last Runon,Jt Last Runon,,,,
Jt Last Year Sales,Jt Last Year Sales,,,,
Jt Last Year Sales Base,Jt Last Year Sales Base,,,,
Jt Lead,Jt Lead,,,,
Jt Lead Entity Type,Jt Lead Entity Type,,,,
Jt Lead Name,Jt Lead Name,,,,
Jt Lead Source,Jt Lead Source,,,,
Jt Lead Source Global,Jt Lead Source Global,,,,
Jt Lead Yomi Name,Jt Lead Yomi Name,,,,
Jt Location,Jt Location,,,,
Jt Mag Return Complete,Jt Mag Return Complete,,,,
Jt Mag Subscription Id,Jt Mag Subscription Id,,,,
Jt Mainfax,Jt Mainfax,,,,
Jt Main Phone,Jt Main Phone,,,,
Jt Manad Click,Jt Manad Click,,,,
Jt Manual Address,Jt Manual Address,,,,
Jt Marketing Emailpreference,Jt Marketing Emailpreference,,,,
Jt Master Contact Id,Jt Master Contact Id,,,,
Jt Media Order Item,Jt Media Order Item,,,,
Jt Media Order Item Entity Type,Jt Media Order Item Entity Type,,,,
Jt Media Order Item Cost Rollup,Jt Media Order Item Cost Rollup,,,,
Jt Media Order Item Cost Rollup Base,Jt Media Order Item Cost Rollup Base,,,,
Jt Media Order Item Cost Rollup Date,Jt Media Order Item Cost Rollup Date,,,,
Jt Media Order Item Cost Rollup State,Jt Media Order Item Cost Rollup State,,,,
Jt Media Order Item Name,Jt Media Order Item Name,,,,
Jt Mp Order Id,Jt Mp Order Id,,,,
Jt Name,Jt Name,,,,
Jt Need By,Jt Need By,,,,
Jt Need By Date,Jt Need By Date,,,,
Jt Newpca,Jt Newpca,,,,
Jt Nextrunon,Jt Nextrunon,,,,
Jt Next Sequence,Jt Next Sequence,,,,
Jt Nodusauth Code,Jt Nodusauth Code,,,,
Jt Noof Location S,Jt Noof Location S,,,,
Jt Notification Message,Jt Notification Message,,,,
Jt Novex,Jt Novex,,,,
Jt Number Ofdays,Jt Number Ofdays,,,,
Jt Number Of Employees,Jt Number Of Employees,,,,
Jt Number Ofsteps,Jt Number Ofsteps,,,,
Jt Number Ofsteps Date,Jt Number Ofsteps Date,,,,
Jt Number Ofsteps State,Jt Number Ofsteps State,,,,
Jt Offsetsubdays,Jt Offsetsubdays,,,,
Jt Order,Jt Order,,,,
Jt Order Entity Type,Jt Order Entity Type,,,,
Jt Order Category,Jt Order Category,,,,
Jt Order Name,Jt Order Name,,,,
Jt Order Session Id,Jt Order Session Id,,,,
Jt Order Source Type,Jt Order Source Type,,,,
Jt Origin Alsub Order,Jt Origin Alsub Order,,,,
Jt Originating Order,Jt Originating Order,,,,
Jt Originating Order Entity Type,Jt Originating Order Entity Type,,,,
Jt Originating Order Detail,Jt Originating Order Detail,,,,
Jt Originating Order Detail Entity Type,Jt Originating Order Detail Entity Type,,,,
Jt Originating Order Detail Name,Jt Originating Order Detail Name,,,,
Jt Originating Order Name,Jt Originating Order Name,,,,
Jt Originating Quote,Jt Originating Quote,,,,
Jt Originating Quote Entity Type,Jt Originating Quote Entity Type,,,,
Jt Originating Quote Name,Jt Originating Quote Name,,,,
Jt Originating Quote Product,Jt Originating Quote Product,,,,
Jt Originating Subscription,Jt Originating Subscription,,,,
Jt Originating Subscription Entity Type,Jt Originating Subscription Entity Type,,,,
Jt Originating Subscription Name,Jt Originating Subscription Name,,,,
Jt Over Credit Limit Exception,Jt Over Credit Limit Exception,,,,
Jt Owner Hshiptype,Jt Owner Hshiptype,,,,
Jt Owner Shiptype,Jt Owner Shiptype,,,,
Jt Parent Campaign,Jt Parent Campaign,,,,
Jt Parent Campaign Entity Type,Jt Parent Campaign Entity Type,,,,
Jt Parent Campaign Name,Jt Parent Campaign Name,,,,
Jt Parent Jobid,Jt Parent Jobid,,,,
Jt Parent Jobid Entity Type,Jt Parent Jobid Entity Type,,,,
Jt Parent Jobid Name,Jt Parent Jobid Name,,,,
Jt Parent Order Id,Jt Parent Order Id,,,,
Jt Parent Order Id Entity Type,Jt Parent Order Id Entity Type,,,,
Jt Parent Order Id Name,Jt Parent Order Id Name,,,,
Jt Payment Amount,Jt Payment Amount,,,,
Jt Payment Amount Base,Jt Payment Amount Base,,,,
Jt Payment Declined Exception,Jt Payment Declined Exception,,,,
Jt Payment Method,Jt Payment Method,,,,
Jt Payment Method Mis Match Exception,Jt Payment Method Mis Match Exception,,,,
Jt Payment Terms,Jt Payment Terms,,,,
Jt Payment Terms Request Ed,Jt Payment Terms Request Ed,,,,
Jt Pca,Jt Pca,,,,
Jt Pca Base,Jt Pca Base,,,,
Jt Pca Date,Jt Pca Date,,,,
Jt Pca State,Jt Pca State,,,,
Jt Pca Discount,Jt Pca Discount,,,,
Jt Pca Discount Base,Jt Pca Discount Base,,,,
Jt Pcaforpromo,Jt Pcaforpromo,,,,
Jt Pcaforpromo Entity Type,Jt Pcaforpromo Entity Type,,,,
Jt Pcaforpromo Name,Jt Pcaforpromo Name,,,,
Jt Pcaid,Jt Pcaid,,,,
Jt Pcaid Entity Type,Jt Pcaid Entity Type,,,,
Jt Pcaid Name,Jt Pcaid Name,,,,
Jt Percent Complete,Jt Percent Complete,,,,
Jt Period,Jt Period,,,,
Jt Phone Preference,Jt Phone Preference,,,,
Jt Pobox Exception,Jt Pobox Exception,,,,
Jt Po Number,Jt Po Number,,,,
Jt Po Required,Jt Po Required,,,,
Jt Post Office Box Exception,Jt Post Office Box Exception,,,,
Jt Prefer Red Agent,Jt Prefer Red Agent,,,,
Jt Prefer Red Agent Entity Type,Jt Prefer Red Agent Entity Type,,,,
Jt Prefer Red Agent Name,Jt Prefer Red Agent Name,,,,
Jt Prefer Red Agent Yomi Name,Jt Prefer Red Agent Yomi Name,,,,
Jt Present Ationdate,Jt Present Ationdate,,,,
Jt Price Per Unit,Jt Price Per Unit,,,,
Jt Price Per Unit Base,Jt Price Per Unit Base,,,,
Jt Primary Contact,Jt Primary Contact,,,,
Jt Primary Contact Entity Type,Jt Primary Contact Entity Type,,,,
Jt Primary Contact Name,Jt Primary Contact Name,,,,
Jt Primary Contact Yomi Name,Jt Primary Contact Yomi Name,,,,
Jt Priority,Jt Priority,,,,
Jt Product,Jt Product,,,,
Jt Product Entity Type,Jt Product Entity Type,,,,
Jt Product Family Extend Ed,Jt Product Family Extend Ed,,,,
Jt Product Id,Jt Product Id,,,,
Jt Product Id Entity Type,Jt Product Id Entity Type,,,,
Jt Product Id Name,Jt Product Id Name,,,,
Jt Product Name,Jt Product Name,,,,
Jt Product Ssoldon Web,Jt Product Ssoldon Web,,,,
Jt Progress Notes,Jt Progress Notes,,,,
Jt Project Jobtemplate Id,Jt Project Jobtemplate Id,,,,
Jt Project Status,Jt Project Status,,,,
Jt Project Template Id,Jt Project Template Id,,,,
Jt Project Template Id Entity Type,Jt Project Template Id Entity Type,,,,
Jt Project Template Id Name,Jt Project Template Id Name,,,,
Jt Promise Ddate,Jt Promise Ddate,,,,
Jt Prospect Present Needed,Jt Prospect Present Needed,,,,
Jt Purchase Order Email,Jt Purchase Order Email,,,,
Jt Q Howlong Should The Script Read,Jt Q Howlong Should The Script Read,,,,
Jt Q Howmany Product Spertray,Jt Q Howmany Product Spertray,,,,
Jt Q Howmanytraysperpallet,Jt Q Howmanytraysperpallet,,,,
Jt Q Isthisare Vision,Jt Q Isthisare Vision,,,,
Jt Q Price Stobelisted,Jt Q Price Stobelisted,,,,
Jt Q Whatarethedielines,Jt Q Whatarethedielines,,,,
Jt Q What Furniture Willbe Present In Booth,Jt Q What Furniture Willbe Present In Booth,,,,
Jt Q What Information Should This Contain,Jt Q What Information Should This Contain,,,,
Jt Q Whatisaretheupcs,Jt Q Whatisaretheupcs,,,,
Jt Q Whatisthesizeofthe Booth,Jt Q Whatisthesizeofthe Booth,,,,
Jt Q Whatisthe Subject Ofthe Email,Jt Q Whatisthe Subject Ofthe Email,,,,
Jt Q Which Email,Jt Q Which Email,,,,
Jt Q Which Magazine,Jt Q Which Magazine,,,,
Jt Q Which Social Plat Form,Jt Q Which Social Plat Form,,,,
Jt Q Willthe Product Beinablisterorbox,Jt Q Willthe Product Beinablisterorbox,,,,
Jt Q Willthis Feature Anewcartorusean Existing,Jt Q Willthis Feature Anewcartorusean Existing,,,,
Jt Q Willthisneeda Unique Phone Number,Jt Q Willthisneeda Unique Phone Number,,,,
Jt Quantity,Jt Quantity,,,,
Jt Question Asset Type,Jt Question Asset Type,,,,
Jt Question Brands Included,Jt Question Brands Included,,,,
Jt Questionbrnum,Jt Questionbrnum,,,,
Jt Questioncallto Action,Jt Questioncallto Action,,,,
Jt Questione Motion,Jt Questione Motion,,,,
Jt Question Ingredient S,Jt Question Ingredient S,,,,
Jt Questionjobgoal,Jt Questionjobgoal,,,,
Jt Questionjob Requirements,Jt Questionjob Requirements,,,,
Jt Question Message,Jt Question Message,,,,
Jt Questionpart Number,Jt Questionpart Number,,,,
Jt Question Previous Br,Jt Question Previous Br,,,,
Jt Questionpro Motion,Jt Questionpro Motion,,,,
Jt Questionreq Change,Jt Questionreq Change,,,,
Jt Questions Design Issue S,Jt Questions Design Issue S,,,,
Jt Question Specific Ations,Jt Question Specific Ations,,,,
Jt Question Target Audience,Jt Question Target Audience,,,,
Jt Questionurl,Jt Questionurl,,,,
Jt Questionword Limit,Jt Questionword Limit,,,,
Jt Regenbuilt,Jt Regenbuilt,,,,
Jt Regen Charge Amount,Jt Regen Charge Amount,,,,
Jt Regen Charge Amount Base,Jt Regen Charge Amount Base,,,,
Jt Release Form Received,Jt Release Form Received,,,,
Jt Reporting Created On,Jt Reporting Created On,,,,
Jt Request Initiate D,Jt Request Initiate D,,,,
Jt Resettax,Jt Resettax,,,,
Jt Re Solution Reason,Jt Re Solution Reason,,,,
Jt Re Solution Reason Disposition,Jt Re Solution Reason Disposition,,,,
Jt Re Solution Reason Disposition Entity Type,Jt Re Solution Reason Disposition Entity Type,,,,
Jt Re Solution Reason Disposition Name,Jt Re Solution Reason Disposition Name,,,,
Jt Re Start Reject Edjob,Jt Re Start Reject Edjob,,,,
Jt Return Order Number,Jt Return Order Number,,,,
Jt Review Hours Capacity,Jt Review Hours Capacity,,,,
Jt Review Hours Remaining,Jt Review Hours Remaining,,,,
Jt Review Hours Used,Jt Review Hours Used,,,,
Jt Review Hours Used Date,Jt Review Hours Used Date,,,,
Jt Review Hours Used State,Jt Review Hours Used State,,,,
Jt Runas,Jt Runas,,,,
Jt Runondate,Jt Runondate,,,,
Jt Sagepostdate,Jt Sagepostdate,,,,
Jt Sales Period,Jt Sales Period,,,,
Jt Sales Period Entity Type,Jt Sales Period Entity Type,,,,
Jt Sales Period Create D,Jt Sales Period Create D,,,,
Jt Sales Period Created Entity Type,Jt Sales Period Created Entity Type,,,,
Jt Sales Period Created Name,Jt Sales Period Created Name,,,,
Jt Sales Period Id,Jt Sales Period Id,,,,
Jt Sales Period Name,Jt Sales Period Name,,,,
Jt Sales Prodlineid,Jt Sales Prodlineid,,,,
Jt Sales Tax,Jt Sales Tax,,,,
Jt Sales Tax Base,Jt Sales Tax Base,,,,
Jt Saletype,Jt Saletype,,,,
Jt Schedule Child Jobs,Jt Schedule Child Jobs,,,,
Jt Sendregen Order Confirm Ation,Jt Sendregen Order Confirm Ation,,,,
Jt Sero Vital,Jt Sero Vital,,,,
Jt Session Idmas,Jt Session Idmas,,,,
Jt Shelf Life,Jt Shelf Life,,,,
Jt Shipaddrcity,Jt Shipaddrcity,,,,
Jt Shipaddrcitylookup,Jt Shipaddrcitylookup,,,,
Jt Shipaddrcitylookup Entity Type,Jt Shipaddrcitylookup Entity Type,,,,
Jt Shipaddrcitylookup Name,Jt Shipaddrcitylookup Name,,,,
Jt Shipaddr Country,Jt Shipaddr Country,,,,
Jt Shipaddr Country Code,Jt Shipaddr Country Code,,,,
Jt Shipaddr Country Lookup,Jt Shipaddr Country Lookup,,,,
Jt Shipaddr Country Lookup Entity Type,Jt Shipaddr Country Lookup Entity Type,,,,
Jt Shipaddr Country Lookup Name,Jt Shipaddr Country Lookup Name,,,,
Jt Shipaddr Id,Jt Shipaddr Id,,,,
Jt Shipaddrline 1,Jt Shipaddrline 1,,,,
Jt Shipaddrline 2,Jt Shipaddrline 2,,,,
Jt Shipaddrline 3,Jt Shipaddrline 3,,,,
Jt Shipaddrline4,Jt Shipaddrline4,,,,
Jt Shipaddrline5,Jt Shipaddrline5,,,,
Jt Shipaddr Name,Jt Shipaddr Name,,,,
Jt Shipaddr Postal Code,Jt Shipaddr Postal Code,,,,
Jt Shipaddr State,Jt Shipaddr State,,,,
Jt Shipaddr State Id,Jt Shipaddr State Id,,,,
Jt Shipaddr State Lookup,Jt Shipaddr State Lookup,,,,
Jt Shipaddr State Lookup Entity Type,Jt Shipaddr State Lookup Entity Type,,,,
Jt Shipaddr State Lookup Name,Jt Shipaddr State Lookup Name,,,,
Jt Shipaddr Zip Lookup,Jt Shipaddr Zip Lookup,,,,
Jt Shipaddr Zip Lookup Entity Type,Jt Shipaddr Zip Lookup Entity Type,,,,
Jt Shipaddr Zip Lookup Name,Jt Shipaddr Zip Lookup Name,,,,
Jt Shipdays,Jt Shipdays,,,,
Jt Ship Method Id,Jt Ship Method Id,,,,
Jt Shipno Later Date,Jt Shipno Later Date,,,,
Jt Shippingaddress,Jt Shippingaddress,,,,
Jt Shippingaddress Entity Type,Jt Shippingaddress Entity Type,,,,
Jt Shippingaddress Name,Jt Shippingaddress Name,,,,
Jt Shippingaddress Yomi Name,Jt Shippingaddress Yomi Name,,,,
Jt Shipping Charge,Jt Shipping Charge,,,,
Jt Shipping Charge Base,Jt Shipping Charge Base,,,,
Jt Shippingcost,Jt Shippingcost,,,,
Jt Shippingcost Base,Jt Shippingcost Base,,,,
Jt Shipping Exception,Jt Shipping Exception,,,,
Jt Shipping Method,Jt Shipping Method,,,,
Jt Shipping Method Code,Jt Shipping Method Code,,,,
Jt Shipping Method Value,Jt Shipping Method Value,,,,
Jt Shipping Status,Jt Shipping Status,,,,
Jt Shipping Street Address,Jt Shipping Street Address,,,,
Jt Ship Status,Jt Ship Status,,,,
Jt Ship Topobox,Jt Ship Topobox,,,,
Jt Showend Date,Jt Showend Date,,,,
Jt Showhours,Jt Showhours,,,,
Jt Show Start Date,Jt Show Start Date,,,,
Jt Sig Nature,Jt Sig Nature,,,,
Jt Sizeof Account,Jt Sizeof Account,,,,
Jt Skill Forbpo,Jt Skill Forbpo,,,,
Jt Skill Forbpo Entity Type,Jt Skill Forbpo Entity Type,,,,
Jt Skill Forbpo Name,Jt Skill Forbpo Name,,,,
Jt Skill Foros,Jt Skill Foros,,,,
Jt Skill Foros Entity Type,Jt Skill Foros Entity Type,,,,
Jt Skill Foros Name,Jt Skill Foros Name,,,,
Jt Social Security,Jt Social Security,,,,
Jt Source Code,Jt Source Code,,,,
Jt Sprint Id,Jt Sprint Id,,,,
Jt Sprint Id Entity Type,Jt Sprint Id Entity Type,,,,
Jt Sprint Id Name,Jt Sprint Id Name,,,,
Jt Start Date,Jt Start Date,,,,
Jt State,Jt State,,,,
Jt State Id,Jt State Id,,,,
Jt State Id Entity Type,Jt State Id Entity Type,,,,
Jt State Id Name,Jt State Id Name,,,,
Jt State Id,Jt State Id,,,,
Jt State Name Id,Jt State Name Id,,,,
Jt State Name Id Entity Type,Jt State Name Id Entity Type,,,,
Jt State Name Id Name,Jt State Name Id Name,,,,
Jt Statestate Id Register Edin Complete,Jt Statestate Id Register Edin Complete,,,,
Jt Status,Jt Status,,,,
Jt Status Reason,Jt Status Reason,,,,
Jt Step Order Number,Jt Step Order Number,,,,
Jt Steptype,Jt Steptype,,,,
Jt Street 1,Jt Street 1,,,,
Jt Street 2,Jt Street 2,,,,
Jt Street 3,Jt Street 3,,,,
Jt Submit Credit Appfor Approval,Jt Submit Credit Appfor Approval,,,,
Jt Submit Pcafor Approval,Jt Submit Pcafor Approval,,,,
Jt Submit Teddate,Jt Submit Teddate,,,,
Jt Subscription Create D,Jt Subscription Create D,,,,
Jt Subscription Id,Jt Subscription Id,,,,
Jt Subscription Id Entity Type,Jt Subscription Id Entity Type,,,,
Jt Subscription Id Name,Jt Subscription Id Name,,,,
Jt Subscription Products Added,Jt Subscription Products Added,,,,
Jt Subscription Quantity,Jt Subscription Quantity,,,,
Jt Subscription Sequence,Jt Subscription Sequence,,,,
Jt Subscription Type,Jt Subscription Type,,,,
Jt Sub Start Date,Jt Sub Start Date,,,,
Jt Sub Total,Jt Sub Total,,,,
Jt Sub Total Base,Jt Sub Total Base,,,,
Jt Suffixlist,Jt Suffixlist,,,,
Jt Textpreference,Jt Textpreference,,,,
Jt Tfn,Jt Tfn,,,,
Jt Tollfree Number,Jt Tollfree Number,,,,
Jt Tollfree Number Id,Jt Tollfree Number Id,,,,
Jt Total Cost,Jt Total Cost,,,,
Jt Total Cost Base,Jt Total Cost Base,,,,
Jt Tracking Nourl,Jt Tracking Nourl,,,,
Jt Tracking Number,Jt Tracking Number,,,,
Jt Type,Jt Type,,,,
Jt Typeof Location,Jt Typeof Location,,,,
Jt Uom,Jt Uom,,,,
Jt Uom Entity Type,Jt Uom Entity Type,,,,
Jt Uom Name,Jt Uom Name,,,,
Jt Upc,Jt Upc,,,,
Jt Updacct Contact Ship To,Jt Updacct Contact Ship To,,,,
Jt Up Gradefirst Run,Jt Up Gradefirst Run,,,,
Jt Up Gradeproduct,Jt Up Gradeproduct,,,,
Jt Up Gradeproduct Entity Type,Jt Up Gradeproduct Entity Type,,,,
Jt Up Gradeproduct Name,Jt Up Gradeproduct Name,,,,
Jt Volume Discount,Jt Volume Discount,,,,
Jt Volume Discount Base,Jt Volume Discount Base,,,,
Jt Web Site,Jt Web Site,,,,
Jt Whole Sale Payment Exception,Jt Whole Sale Payment Exception,,,,
Jt Whole Sale Price,Jt Whole Sale Price,,,,
Jt Whole Sale Price Base,Jt Whole Sale Price Base,,,,
Jt Wire Transfer,Jt Wire Transfer,,,,
Jt Worktype,Jt Worktype,,,,
Jt Ws Payment Exception,Jt Ws Payment Exception,,,,
Jt Year,Jt Year,,,,
Jt Zip,Jt Zip,,,,
Jt Zip Code Postal Code,Jt Zip Code Postal Code,,,,
Jt Zoller,Jt Zoller,,,,
Ka Prefix,Ka Prefix,,,,
Kb Access Level,Kb Access Level,,,,
Kb Article Id,Kb Article Id,,,,
Kb Article Id Entity Type,Kb Article Id Entity Type,,,,
Kb Article Id Name,Kb Article Id Name,,,,
Kb Article Template Id,Kb Article Template Id,,,,
